TIMESTAMP,AGE,GENDER,COUNTRY,FAMILY_HISTORY,TREATMENT,WORK_INTERFERE,BENEFIT,SEEK_HELP,MENTAL_HEALTH_AFFECT,PHYSICAL_HEALTH_AFFECT
01-01-2024 01:08,25,Female,Germany,No,No,Often,No,No,Maybe,Maybe
01-01-2024 01:09,57,Male,India,Yes,Yes,No,Yes,No,No,Yes
01-01-2024 01:10,59,Male,Canada,No,Yes,Rarely,Yes,Yes,No,No
01-01-2024 01:11,25,Female,India,No,No,Sometimes,Yes,Don't know,Maybe,Yes
01-01-2024 01:12,61,Male,India,No,No,Rarely,No,No,Yes,Yes
01-01-2024 01:13,19,Female,United States,No,No,No,No,Don't know,Yes,No
01-01-2024 01:14,55,Male,India,Yes,Yes,Yes,Don't know,Don't know,Maybe,No
01-01-2024 01:15,32,Male,India,No,No,Yes,Don't know,Yes,Maybe,Maybe
01-01-2024 01:16,35,Female,India,Yes,No,Rarely,Yes,No,Yes,Yes
01-01-2024 01:17,61,Male,Canada,Yes,No,Often,Don't know,No,Maybe,No
01-01-2024 01:18,22,Male,United States,No,No,Sometimes,No,Yes,Yes,Yes
01-01-2024 01:19,28,Male,India,No,Yes,Sometimes,Yes,Yes,Maybe,Yes
01-01-2024 01:20,22,Female,United Kingdom,No,Yes,Never,No,No,No,Yes
01-01-2024 01:21,24,Female,Canada,Yes,No,No,Don't know,Yes,No,Yes
01-01-2024 01:22,32,Female,Australia,No,No,Rarely,No,Yes,Yes,Maybe
01-01-2024 01:23,44,Female,United Kingdom,No,No,Yes,Don't know,Yes,No,Yes
01-01-2024 01:24,25,Male,United States,No,No,Often,No,No,No,Yes
01-01-2024 01:25,55,Male,India,No,Yes,No,No,Yes,No,No
01-01-2024 01:26,21,Male,Germany,Yes,Yes,No,Yes,No,No,Maybe
01-01-2024 01:27,35,Female,India,No,No,No,Yes,Yes,No,Yes
01-01-2024 01:28,59,Male,Germany,No,No,No,No,Yes,Maybe,Yes
01-01-2024 01:29,22,Female,Canada,No,No,Sometimes,Yes,Don't know,No,No
01-01-2024 01:30,18,Male,Canada,No,No,Never,Don't know,Don't know,No,No
01-01-2024 01:31,45,Female,India,No,Yes,Never,No,Yes,No,Maybe
01-01-2024 01:32,60,Female,Germany,No,Yes,Yes,Don't know,Don't know,Maybe,No
01-01-2024 01:33,54,Female,Germany,No,No,No,No,Yes,Yes,No
01-01-2024 01:34,48,Male,India,No,No,Yes,Don't know,Don't know,Maybe,Yes
01-01-2024 01:35,37,Female,United States,No,Yes,Never,Don't know,No,Yes,Maybe
01-01-2024 01:36,52,Male,Germany,Yes,Yes,Yes,Yes,Don't know,Yes,Yes
01-01-2024 01:37,31,Female,India,No,No,Yes,Yes,No,No,Maybe
01-01-2024 01:38,58,Female,Germany,Yes,No,Rarely,No,Don't know,Yes,Maybe
01-01-2024 01:39,35,Female,United Kingdom,No,No,Yes,Yes,Yes,Maybe,Yes
01-01-2024 01:40,56,Female,Canada,No,Yes,Sometimes,Don't know,Yes,Maybe,No
01-01-2024 01:41,23,Other,United Kingdom,No,Yes,No,Don't know,Yes,Yes,No
01-01-2024 01:42,35,Male,Australia,No,No,Yes,No,Yes,Yes,Yes
01-01-2024 01:43,51,Female,Australia,Yes,No,Sometimes,Yes,No,Maybe,Maybe
01-01-2024 01:44,21,Female,Australia,No,No,No,No,No,Maybe,Yes
01-01-2024 01:45,44,Female,Germany,No,Yes,Yes,No,Yes,Yes,Maybe
01-01-2024 01:46,39,Female,United Kingdom,No,Yes,No,Yes,Yes,No,Yes
01-01-2024 01:47,47,Female,United Kingdom,Yes,Yes,Sometimes,No,Yes,Yes,Yes
01-01-2024 01:48,22,Male,Germany,No,Yes,Rarely,No,Don't know,Yes,Maybe
01-01-2024 01:49,21,Female,United Kingdom,No,No,No,Yes,Yes,Maybe,No
01-01-2024 01:50,31,Female,India,No,Yes,Rarely,No,No,Maybe,Yes
01-01-2024 01:51,64,Male,India,No,No,Yes,No,Yes,Maybe,No
01-01-2024 01:52,23,Male,United States,Yes,Yes,Rarely,No,Yes,Maybe,Yes
01-01-2024 01:53,20,Female,India,No,No,Rarely,No,Yes,No,Maybe
01-01-2024 01:54,42,Male,India,No,No,Yes,No,Yes,Yes,Yes
01-01-2024 01:55,18,Male,Canada,Yes,No,Never,No,No,Yes,Maybe
01-01-2024 01:56,58,Female,Australia,No,Yes,Rarely,No,No,No,No
01-01-2024 01:57,48,Female,Germany,No,No,Sometimes,Don't know,Don't know,No,No
01-01-2024 01:58,23,Female,Germany,No,Yes,Never,Don't know,No,Yes,Maybe
01-01-2024 01:59,28,Male,Australia,No,No,Never,Yes,Yes,Maybe,Yes
01-01-2024 02:00,59,Female,Canada,No,Yes,Sometimes,Yes,Yes,Yes,Maybe
01-01-2024 02:01,20,Male,United Kingdom,Yes,Yes,Often,Yes,No,No,Maybe
01-01-2024 02:02,52,Male,United Kingdom,No,Yes,Yes,No,Don't know,No,Yes
01-01-2024 02:03,61,Female,Canada,No,Yes,Sometimes,Yes,No,Maybe,Maybe
01-01-2024 02:04,51,Male,India,No,No,Often,Don't know,Don't know,No,No
01-01-2024 02:05,42,Male,Australia,No,No,Never,Don't know,No,Yes,Maybe
01-01-2024 02:06,58,Female,India,No,Yes,Never,Don't know,Don't know,Yes,No
01-01-2024 02:07,38,Female,United States,No,No,Rarely,Yes,Yes,Maybe,No
01-01-2024 02:08,63,Male,United Kingdom,No,No,Often,Yes,Don't know,Yes,No
01-01-2024 02:09,21,Female,Australia,No,Yes,Never,Don't know,No,Yes,Yes
01-01-2024 02:10,44,Female,United States,Yes,No,Yes,Don't know,Don't know,Yes,Maybe
01-01-2024 02:11,54,Male,United States,No,Yes,Rarely,Don't know,Yes,Yes,No
01-01-2024 02:12,55,Female,Canada,No,No,Sometimes,Yes,Don't know,Yes,No
01-01-2024 02:13,48,Male,Canada,Yes,No,No,No,Don't know,Yes,Yes
01-01-2024 02:14,27,Male,India,No,No,No,Don't know,Don't know,Yes,No
01-01-2024 02:15,52,Female,United Kingdom,No,No,No,Don't know,No,No,Maybe
01-01-2024 02:16,46,Female,Australia,Yes,No,Often,No,Yes,Yes,Yes
01-01-2024 02:17,24,Male,United Kingdom,Yes,No,Yes,No,No,Yes,Maybe
01-01-2024 02:18,61,Female,Germany,Yes,No,Often,Yes,Yes,No,No
01-01-2024 02:19,26,Female,Australia,No,No,Yes,Don't know,Don't know,Maybe,Maybe
01-01-2024 02:20,58,Female,Germany,No,Yes,Sometimes,Yes,Don't know,Yes,Yes
01-01-2024 02:21,41,Male,United States,No,No,Often,No,Yes,No,Maybe
01-01-2024 02:22,26,Male,United Kingdom,No,No,Often,No,Yes,Yes,No
01-01-2024 02:23,22,Male,Germany,No,No,Rarely,Don't know,No,Yes,Maybe
01-01-2024 02:24,39,Male,Canada,No,Yes,Rarely,Don't know,Yes,No,Maybe
01-01-2024 02:25,25,Female,United States,No,Yes,Often,Don't know,Yes,Maybe,No
01-01-2024 02:26,31,Male,Germany,No,Yes,Sometimes,Yes,Don't know,Yes,Yes
01-01-2024 02:27,53,Male,Germany,No,No,Yes,Yes,Yes,Yes,No
01-01-2024 02:28,39,Female,United Kingdom,Yes,No,Never,Yes,No,Maybe,No
01-01-2024 02:29,52,Male,India,No,No,Yes,No,No,Maybe,Maybe
01-01-2024 02:30,46,Male,United States,No,No,Yes,No,Yes,Yes,Maybe
01-01-2024 02:31,52,Female,Canada,Yes,No,Yes,Yes,Yes,No,No
01-01-2024 02:32,31,Female,Australia,Yes,Yes,Rarely,Yes,Yes,No,Yes
01-01-2024 02:33,37,Female,India,Yes,No,Sometimes,No,Don't know,No,Yes
01-01-2024 02:34,28,Female,India,No,No,Often,Don't know,No,No,No
01-01-2024 02:35,20,Female,Canada,No,Yes,No,No,Yes,Maybe,No
01-01-2024 02:36,48,Female,United States,No,No,No,Don't know,Don't know,Maybe,No
01-01-2024 02:37,40,Female,India,No,Yes,Rarely,No,No,Yes,Maybe
01-01-2024 02:38,40,Male,India,No,No,Never,Don't know,Yes,Maybe,Yes
01-01-2024 02:39,49,Male,India,Yes,No,Often,No,No,Yes,Yes
01-01-2024 02:40,50,Male,Canada,No,No,Rarely,Yes,Yes,Maybe,Maybe
01-01-2024 02:41,43,Male,Germany,Yes,No,No,Yes,No,Maybe,Yes
01-01-2024 02:42,18,Male,United Kingdom,Yes,No,No,No,Don't know,No,Maybe
01-01-2024 02:43,24,Male,India,No,No,No,No,Don't know,Maybe,Yes
01-01-2024 02:44,50,Male,Australia,No,Yes,Never,Yes,Don't know,Maybe,No
01-01-2024 02:45,40,Male,United States,No,Yes,Yes,Don't know,Yes,No,No
01-01-2024 02:46,30,Male,Australia,Yes,Yes,Yes,No,Yes,Maybe,Maybe
01-01-2024 02:47,20,Male,India,No,No,Yes,Don't know,No,No,Maybe
01-01-2024 02:48,61,Female,United States,Yes,No,Never,Don't know,Yes,No,Yes
01-01-2024 02:49,18,Female,Canada,No,No,Yes,Yes,Don't know,Maybe,No
01-01-2024 02:50,49,Female,Germany,No,Yes,Never,No,Don't know,Yes,No
01-01-2024 02:51,46,Male,United Kingdom,Yes,Yes,No,Yes,No,Yes,Yes
01-01-2024 02:52,57,Female,United States,No,No,Yes,Don't know,Yes,Yes,Maybe
01-01-2024 02:53,35,Male,Australia,No,No,Rarely,No,Don't know,Yes,Maybe
01-01-2024 02:54,18,Female,Australia,No,Yes,No,Don't know,Don't know,Maybe,No
01-01-2024 02:55,56,Male,United States,No,No,Often,Don't know,No,Yes,No
01-01-2024 02:56,23,Male,United States,No,No,Yes,Yes,Yes,Maybe,No
01-01-2024 02:57,35,Male,Australia,No,No,Yes,Don't know,Yes,Yes,No
01-01-2024 02:58,64,Male,India,No,Yes,No,No,Don't know,Maybe,No
01-01-2024 02:59,48,Male,Canada,No,No,Never,No,Yes,No,Yes
01-01-2024 03:00,32,Male,Canada,Yes,Yes,Sometimes,Don't know,Don't know,Maybe,Yes
01-01-2024 03:01,31,Female,United States,Yes,No,Sometimes,Yes,No,Maybe,Yes
01-01-2024 03:02,60,Female,Germany,No,No,Often,Don't know,Yes,Yes,Yes
01-01-2024 03:03,38,Female,Germany,No,No,Sometimes,No,Yes,Yes,No
01-01-2024 03:04,38,Female,United Kingdom,No,Yes,No,No,Yes,Yes,Maybe
01-01-2024 03:05,52,Female,United Kingdom,No,No,Never,No,No,No,Maybe
01-01-2024 03:06,22,Male,Canada,No,No,Rarely,Yes,No,Maybe,Maybe
01-01-2024 03:07,22,Female,United States,Yes,Yes,Rarely,No,Don't know,No,Yes
01-01-2024 03:08,57,Male,Canada,No,No,Yes,Yes,No,Maybe,Yes
01-01-2024 03:09,35,Male,Australia,No,No,Yes,Don't know,Yes,Maybe,No
01-01-2024 03:10,29,Male,Canada,No,No,No,No,Don't know,Yes,Maybe
01-01-2024 03:11,37,Female,India,Yes,Yes,Rarely,No,No,Maybe,Yes
01-01-2024 03:12,22,Male,India,Yes,Yes,Rarely,Don't know,Yes,Maybe,Yes
01-01-2024 03:13,49,Female,United Kingdom,No,No,Sometimes,Yes,Don't know,Maybe,Yes
01-01-2024 03:14,38,Female,India,No,Yes,Never,Don't know,Don't know,Yes,Yes
01-01-2024 03:15,63,Female,United Kingdom,No,Yes,Often,No,Yes,No,Yes
01-01-2024 03:16,21,Male,Germany,No,No,Rarely,Don't know,Don't know,Maybe,No
01-01-2024 03:17,57,Male,Canada,No,Yes,Often,Yes,Don't know,Yes,Maybe
01-01-2024 03:18,19,Male,Germany,No,No,No,Yes,Yes,No,Maybe
01-01-2024 03:19,37,Female,Canada,No,Yes,Sometimes,No,Don't know,No,Yes
01-01-2024 03:20,38,Female,Canada,Yes,No,No,Yes,Don't know,Maybe,Yes
01-01-2024 03:21,38,Female,Australia,No,Yes,Sometimes,Yes,Don't know,No,Yes
01-01-2024 03:22,40,Male,United States,Yes,Yes,Often,No,Don't know,No,No
01-01-2024 03:23,54,Male,United States,No,Yes,Sometimes,Yes,Yes,Yes,No
01-01-2024 03:24,54,Female,Canada,Yes,Yes,Yes,No,Yes,No,Maybe
01-01-2024 03:25,58,Female,Germany,No,No,Sometimes,No,Yes,Yes,No
01-01-2024 03:26,34,Male,Canada,No,No,Never,No,No,Yes,Maybe
01-01-2024 03:27,53,Male,Germany,No,Yes,Never,Don't know,Don't know,Maybe,Maybe
01-01-2024 03:28,19,Male,Canada,No,No,No,Don't know,Yes,Yes,No
01-01-2024 03:29,26,Female,United States,Yes,No,No,No,No,No,Yes
01-01-2024 03:30,44,Male,Canada,No,Yes,Often,No,Yes,Yes,Yes
01-01-2024 03:31,19,Female,Germany,No,Yes,Sometimes,Yes,Don't know,Maybe,No
01-01-2024 03:32,31,Female,India,No,No,Yes,Don't know,Don't know,No,No
01-01-2024 03:33,63,Female,Australia,Yes,No,Yes,Yes,Yes,No,No
01-01-2024 03:34,40,Male,Australia,No,No,Never,No,No,Maybe,Maybe
01-01-2024 03:35,60,Male,Canada,Yes,No,Never,No,Yes,Yes,No
01-01-2024 03:36,32,Female,India,No,No,Yes,No,Don't know,Yes,Yes
01-01-2024 03:37,25,Male,India,No,No,Often,Don't know,Don't know,No,Maybe
01-01-2024 03:38,38,Female,United Kingdom,Yes,No,Often,Don't know,Yes,Maybe,Yes
01-01-2024 03:39,60,Male,Australia,No,No,Often,Don't know,Don't know,Maybe,Yes
01-01-2024 03:40,18,Female,Canada,No,Yes,Sometimes,No,No,Yes,No
01-01-2024 03:41,41,Male,India,No,No,Sometimes,Yes,Don't know,Yes,Yes
01-01-2024 03:42,54,Female,Australia,No,No,Never,Yes,No,Maybe,No
01-01-2024 03:43,58,Male,Canada,No,No,Never,No,Don't know,No,Yes
01-01-2024 03:44,61,Other,Canada,No,No,Never,Don't know,No,Yes,Maybe
01-01-2024 03:45,19,Female,India,No,No,Often,Yes,Yes,No,Maybe
01-01-2024 03:46,29,Male,Australia,No,No,No,Yes,Yes,No,Maybe
01-01-2024 03:47,51,Female,United Kingdom,Yes,No,No,Don't know,No,No,No
01-01-2024 03:48,64,Male,Canada,No,No,Often,No,No,Maybe,Yes
01-01-2024 03:49,42,Male,Canada,No,No,No,No,No,Maybe,No
01-01-2024 03:50,22,Male,India,No,No,Rarely,No,Yes,Yes,Maybe
01-01-2024 03:51,39,Male,Australia,Yes,No,No,No,No,Yes,No
01-01-2024 03:52,23,Female,United States,No,No,Yes,No,No,Maybe,No
01-01-2024 03:53,55,Female,United States,Yes,No,No,Yes,Don't know,Maybe,Yes
01-01-2024 03:54,55,Female,United Kingdom,Yes,Yes,Often,Yes,Don't know,Yes,No
01-01-2024 03:55,40,Female,Australia,No,Yes,Never,Don't know,No,No,No
01-01-2024 03:56,25,Female,India,Yes,Yes,Sometimes,Don't know,Don't know,Maybe,Yes
01-01-2024 03:57,64,Male,Canada,No,Yes,Yes,Don't know,Yes,Yes,No
01-01-2024 03:58,60,Male,Australia,No,No,No,No,Don't know,No,Yes
01-01-2024 03:59,34,Male,Australia,No,Yes,Rarely,No,Don't know,No,Maybe
01-01-2024 04:00,52,Female,United States,No,Yes,Yes,No,Yes,Maybe,Maybe
01-01-2024 04:01,58,Male,United States,Yes,Yes,Never,No,No,Maybe,No
01-01-2024 04:02,30,Male,India,No,Yes,Never,No,Don't know,Maybe,Yes
01-01-2024 04:03,45,Male,Germany,Yes,Yes,Never,Yes,No,Yes,Yes
01-01-2024 04:04,37,Male,United Kingdom,Yes,No,No,Don't know,Yes,No,Yes
01-01-2024 04:05,38,Female,United Kingdom,No,Yes,No,No,Don't know,Maybe,Yes
01-01-2024 04:06,63,Male,India,No,Yes,Sometimes,Don't know,No,Yes,No
01-01-2024 04:07,42,Male,United States,No,Yes,Never,Yes,Yes,No,No
01-01-2024 04:08,23,Male,United States,No,Yes,Rarely,No,No,Yes,Maybe
01-01-2024 04:09,49,Female,Canada,Yes,No,Often,Yes,Don't know,Maybe,No
01-01-2024 04:10,24,Male,Canada,No,No,Often,No,Yes,Yes,Yes
01-01-2024 04:11,62,Male,Canada,No,Yes,Rarely,Yes,Yes,No,No
01-01-2024 04:12,47,Male,Australia,No,No,Rarely,Yes,Don't know,Yes,Yes
01-01-2024 04:13,19,Female,Australia,Yes,Yes,No,Yes,No,No,No
01-01-2024 04:14,62,Male,Canada,No,No,Never,Don't know,No,No,Yes
01-01-2024 04:15,30,Female,India,No,Yes,Never,Don't know,Don't know,Yes,Yes
01-01-2024 04:16,59,Female,United States,No,No,No,No,No,Yes,Yes
01-01-2024 04:17,41,Female,Canada,No,Yes,Yes,No,Yes,Yes,Yes
01-01-2024 04:18,47,Female,United States,Yes,No,Often,Yes,Yes,Maybe,No
01-01-2024 04:19,22,Female,United Kingdom,No,No,Yes,Yes,No,Yes,Yes
01-01-2024 04:20,31,Male,Australia,No,Yes,Often,Yes,Don't know,Yes,No
01-01-2024 04:21,57,Male,United States,No,No,Rarely,Don't know,No,No,No
01-01-2024 04:22,60,Female,United Kingdom,No,Yes,Often,Yes,No,Maybe,No
01-01-2024 04:23,40,Female,Canada,No,No,Often,Don't know,Don't know,Yes,No
01-01-2024 04:24,59,Female,United Kingdom,No,No,Often,No,Yes,Yes,No
01-01-2024 04:25,19,Female,Canada,No,No,Yes,No,Don't know,Maybe,Yes
01-01-2024 04:26,59,Female,United States,No,No,Often,Don't know,Yes,No,No
01-01-2024 04:27,32,Male,United Kingdom,Yes,No,Never,No,Yes,No,No
01-01-2024 04:28,30,Female,Germany,No,No,Rarely,No,Yes,No,Yes
01-01-2024 04:29,64,Male,Canada,No,No,Often,Yes,Don't know,No,No
01-01-2024 04:30,29,Female,United Kingdom,No,Yes,Yes,Yes,Yes,No,Yes
01-01-2024 04:31,38,Male,Germany,No,Yes,Never,Don't know,Don't know,No,Yes
01-01-2024 04:32,44,Male,India,No,No,No,Don't know,No,Maybe,No
01-01-2024 04:33,52,Female,Germany,No,No,Often,No,No,No,No
01-01-2024 04:34,60,Male,United Kingdom,No,No,Often,Don't know,Don't know,No,Yes
01-01-2024 04:35,38,Male,Canada,No,Yes,Often,No,No,Maybe,No
01-01-2024 04:36,23,Male,Germany,No,Yes,No,No,Yes,No,No
01-01-2024 04:37,59,Female,United Kingdom,Yes,Yes,Often,No,Don't know,Maybe,No
01-01-2024 04:38,64,Female,India,Yes,Yes,Often,Don't know,Don't know,Maybe,Yes
01-01-2024 04:39,62,Female,Australia,No,No,Never,Yes,Don't know,Yes,Maybe
01-01-2024 04:40,40,Male,United States,No,Yes,Never,No,No,No,No
01-01-2024 04:41,40,Male,United Kingdom,No,No,Sometimes,Yes,No,Yes,No
01-01-2024 04:42,32,Male,India,Yes,No,Sometimes,Don't know,Don't know,Yes,No
01-01-2024 04:43,44,Male,Australia,No,No,Sometimes,No,Yes,Maybe,No
01-01-2024 04:44,24,Male,India,No,No,Rarely,Don't know,Yes,No,Maybe
01-01-2024 04:45,46,Male,India,No,No,No,Yes,No,No,Yes
01-01-2024 04:46,35,Female,United Kingdom,No,No,Rarely,Yes,No,No,No
01-01-2024 04:47,57,Female,Canada,No,No,Often,No,No,Maybe,Yes
01-01-2024 04:48,63,Male,United States,No,No,Sometimes,Don't know,Yes,Maybe,Yes
01-01-2024 04:49,58,Male,Australia,No,Yes,Yes,No,No,Yes,No
01-01-2024 04:50,19,Male,United States,Yes,No,No,No,Yes,Maybe,Maybe
01-01-2024 04:51,29,Female,United Kingdom,No,No,Sometimes,No,Yes,Yes,Maybe
01-01-2024 04:52,43,Female,India,No,No,Yes,No,Yes,Yes,Yes
01-01-2024 04:53,35,Male,India,No,No,Never,Don't know,Don't know,Yes,No
01-01-2024 04:54,26,Male,India,No,No,No,Yes,Yes,Maybe,Yes
01-01-2024 04:55,53,Male,Germany,No,No,Sometimes,Yes,Don't know,Maybe,No
01-01-2024 04:56,25,Male,India,No,No,No,No,Yes,Yes,No
01-01-2024 04:57,57,Female,Australia,No,No,Never,No,Don't know,Maybe,Maybe
01-01-2024 04:58,19,Female,Canada,Yes,No,Often,Yes,No,Maybe,No
01-01-2024 04:59,53,Female,United States,No,Yes,Yes,Don't know,Yes,No,No
01-01-2024 05:00,18,Male,Germany,No,No,No,No,Don't know,No,Maybe
01-01-2024 05:01,41,Female,Australia,Yes,No,Often,Yes,Don't know,Yes,Maybe
01-01-2024 05:02,55,Male,India,No,No,Sometimes,Yes,Don't know,Maybe,Maybe
01-01-2024 05:03,18,Female,Canada,No,No,Rarely,No,No,No,Yes
01-01-2024 05:04,61,Male,India,No,No,Often,Yes,Yes,Maybe,No
01-01-2024 05:05,43,Female,United Kingdom,No,No,Never,Yes,No,Maybe,No
01-01-2024 05:06,25,Male,Canada,No,No,No,Don't know,No,Yes,No
01-01-2024 05:07,57,Male,Germany,No,Yes,Yes,No,Yes,No,No
01-01-2024 05:08,47,Female,United Kingdom,No,No,Never,No,Yes,Yes,Maybe
01-01-2024 05:09,45,Female,Australia,Yes,No,No,Yes,Yes,Maybe,Maybe
01-01-2024 05:10,55,Male,United States,No,No,No,Don't know,No,Yes,Yes
01-01-2024 05:11,48,Female,Canada,Yes,Yes,No,Yes,Yes,Yes,Maybe
01-01-2024 05:12,53,Male,Australia,Yes,No,Never,Don't know,Yes,No,Maybe
01-01-2024 05:13,32,Female,Australia,No,No,Yes,Yes,Yes,Yes,No
01-01-2024 05:14,46,Female,United States,No,No,No,Don't know,Don't know,Yes,Maybe
01-01-2024 05:15,27,Male,Australia,No,No,Yes,No,Don't know,Yes,No
01-01-2024 05:16,20,Female,United Kingdom,No,No,No,No,No,Yes,Maybe
01-01-2024 05:17,24,Female,United States,No,No,Sometimes,Yes,Yes,Maybe,Yes
